begin_geoid,end_geoid,lengte_m
10001,10000,2417.4406439898253
10001,10191,1192.8739262976499
10002,10188,870.4760795997952
10003,10002,1929.4296908041797
10003,1230269,3165.4307721388013
10004,1230269,2353.6565882088003
10004,3408001,685.5638749667188
10005,10004,1186.6813936146582
10005,1230292,802.5204162942467
10005,3408000,1409.0066715494193
10007,3407980,1344.1840845410213
10009,10012,2743.0700683580717
10010,10009,1175.857830428592
10012,1230357,229.5104074253248
10016,3408057,1744.4906461282212
10017,2936706,2387.0261190493384
10017,3408019,310.6095462537093
10017,3408061,1844.6854484977146
10019,10010,1854.6242523329681
10019,3408059,875.6122331068026
10020,10010,2298.573078927669
10020,1230395,3295.778437284247
10021,10020,1603.7194848997174
10021,6149,3027.194220343224
10022,6179,2614.7523152877807
10024,6179,4952.208523011981
10025,10024,468.8936137132122
10025,1230207,2768.617430141494
10028,4249402,969.0538125631087
1003,1193,964.776599578251
10031,1230203,2122.3359255405685
10031,5677,2982.5678110011095
10032,10031,196.40852418102244
10032,10034,3880.7515595099053
10033,10032,3372.736607280074
10033,9852,3956.2693737137092
10033,9858,2451.7079264483873
10034,3408003,3244.73032613101
10035,1230251,5340.386528998414
10035,2304324,9024.107744909481
10035,5677,1338.1040468249648
10037,10038,3747.761592725221
10037,1230251,2767.726596204659
10037,9862,1500.443250014111
10038,10055,2033.2688656222974
10038,5873,2327.233391116678
10039,1230289,3919.401925012635
10039,3773,1789.1069958960893
10039,3929,6379.433415431689
10039,3982,1888.4269991469369
10042,1230222,1065.6159156498015
10046,2544,1383.8879479409954
10048,10049,2707.633439682573
10049,1230297,1287.5907199435892
10049,3903,2084.951791114043
10051,10052,1030.0330138534193
10051,1230252,3698.375812415044
10052,10048,3556.6657738974623
10052,10075,1692.993838399821
10055,1230252,2355.781882635685
1005779,1006610,4337.084824892168
1005779,1006622,952.9842184014905
1005779,1008066,3877.0571494306396
1005784,1006621,1513.8578043530028
1005784,1006622,1047.2681790799913
1005784,1008078,4139.703212629253
1005803,1006617,393.1412742879734
1005803,1006618,1502.8918264385188
1005803,1008085,3297.497808621525
1005808,1006531,681.0455316769707
1005808,1006532,1434.4317844945895
1005808,1008088,2511.3121673458363
1005888,1007684,2256.386667155891
1005959,1005960,2659.450295603823
1005959,1005967,3414.873477123209
1005959,1008096,1660.8796789542503
1005960,1005961,769.5165882630758
1005960,1005963,2732.171024439901
1005961,1006228,4574.1806456576605
1005961,1007864,3178.111316751022
1005961,1007871,1644.5283460607725
1005962,1005963,4084.9787320440632
1005962,1006025,100.90359343245186
1005962,1007871,2516.072548768538
1005963,1008096,5254.799075271663
1005963,3116903,2219.1896618998053
1005966,1005967,2065.244689101261
1005966,1007706,2599.9354110094255
1005966,1007709,965.5340876919596
1005967,1006228,644.3742582521974
1005969,1005977,1282.6504796158408
1005969,1006030,1305.0903914693001
1005969,1007740,2642.474987849301
1005971,1005972,1730.8434269182314
1005971,1005977,4953.382219148538
1005971,1006037,4851.980687118887
1005972,1005973,741.4822748212347
1005972,1005974,4803.556325861534
1005973,1005978,3201.948181606646
1005973,1007751,4104.476980244542
1005974,1005977,1885.9187728806885
1005974,1007748,2107.1806926203994
1005974,1007751,1462.5275772028788
1005976,1007732,895.817022046933
1005976,1007740,1337.9183868998307
1005976,1007746,565.5010191581621
1005978,1007666,3364.096086378596
1005978,1007915,1993.0645149359673
1005979,1005980,382.8468493168834
1005979,1006045,1921.5075534334621
1005979,1007758,948.2424203753058
1005980,1005981,1834.8079063147898
1005980,1005987,2719.99061790636
1005981,1005982,1755.924366218453
1005981,1005983,2071.824467234983
1005981,1006046,3418.3781656967244
1005982,1005983,2445.79800798545
1005982,1005986,1072.0518867331548
1005982,1007919,2409.7697061321483
1005983,1005984,1385.6278484996712
1005984,1007919,1797.5971280997849
1005984,1007920,1125.0161701976242
1005984,1007928,2733.390589127796
1005985,1005986,2377.489402568574
1005985,1005988,6957.255754968371
1005986,1005987,308.0234232586288
1005987,1007666,2765.7558946631934
1005988,1005989,3598.430744100217
1005988,1005993,1943.2372851330522
1005989,1007771,708.6732653087672
1005989,1007776,2528.000419962095
1005990,1005991,431.78628778428606
1005990,1005993,2594.9090674080744
1005990,1007771,1975.486998749436
1005991,1005992,3054.0261663879605
1005991,1005996,2812.182598941631
1005992,1005993,2711.137738120566
1005992,1006001,2796.8139231719542
1005994,1005995,1720.5822827501686
1005994,1006001,183.05501890300758
1005994,1006002,2662.701847580302
1005995,1005996,1781.6364410304461
1005995,1006004,3247.1858174687136
1005996,1005997,1250.255373704091
1005997,1006004,2687.794327284252
1005997,1007784,183.38139620093253
1005998,1005999,1935.7289050640777
1005998,1007784,3129.0856074056856
1005998,1008105,1678.5326528838407
1005999,1006002,529.9582947691712
1005999,1020249,1875.0744578379686
1006001,1007785,306.34070633382
1006002,1006004,329.2985750062911
1006006,1006007,1451.0246973238077
1006006,1007865,1292.340376598027
1006006,1007869,520.0981918304547
1006007,1007868,2061.7884780813197
1006007,1007874,1243.6155162341242
1006007,1007885,2074.7257933643477
1006008,1006009,1407.5881750408084
1006008,1006291,4108.937163011187
1006008,1007864,4514.180230787475
1006009,1006290,2381.7360349799983
1006009,1007873,3931.2245552912686
1006010,1006289,2622.1759364797713
1006010,1007813,570.6619633392311
1006010,1007873,1212.5533070377546
1006011,1007810,444.2468595193314
1006011,1007813,3064.595466494418
1006011,1007815,2506.812510415705
1006012,1007811,1362.4040740537894
1006012,1007876,1174.6995695175294
1006012,1007877,1774.235768445555
1006014,1007885,4087.9364301433457
1006014,1007886,2356.053783818097
1006014,1007898,1395.9962586617871
1006015,1007886,1692.7173746340395
1006015,1007888,4817.436242198968
1006015,1007903,2043.9305649576424
1006016,1006017,666.2952309155417
1006016,1007899,2486.168814501806
1006016,1007903,1179.777703756621
1006017,1007901,207.8095539261604
1006017,1007902,1479.1445934282333
1006019,1006020,839.0873227819233
1006019,1006029,2561.7862193928145
1006019,1007900,5442.79202144047
1006020,1006021,644.9091062423197
1006020,1007899,3346.367353759053
1006021,1007894,1894.350480357226
1006021,1007896,558.4690002493643
1006023,1006024,26.04772384019745
1006023,1006025,2848.3941246485524
1006023,1006031,316.70137827988214
1006024,1006026,2947.907231476317
1006024,1006029,2767.487615053579
1006025,1006026,964.3012583515243
1006026,1007894,1356.2381726637773
1006027,1006028,2589.004666707297
1006027,1006074,3358.107724475587
1006027,1007900,1424.3348321368335
1006028,1006029,3133.5859003845426
1006028,1006032,53.439198606923505
1006028,1006072,3051.8279642403513
1006030,1006031,506.6026999643948
1006030,1006039,4991.400167333898
1006031,1006035,2961.081765797106
