geoid,knoopnr,naam,lat,lon
612,1,FNW,51.07229293231546,4.374126102517058
614,12,Vlaamse Ardennen,50.83265242783213,3.748641218834394
615,99,Vlaamse Ardennen,50.78025173981817,3.747855072612591
616,43,Vlaamse Ardennen,50.81259062822239,3.706886033957936
617,68,Vlaamse Ardennen,50.830721541872315,3.731125976134179
618,40,Vlaamse Ardennen,50.80755522613293,3.690681715587745
619,39,Vlaamse Ardennen,50.815025308455596,3.684647537356577
620,76,Vlaamse Ardennen,50.835587919193536,3.695636153078931
621,94,Vlaamse Ardennen,50.83906259217081,3.676097625245161
622,7,Vlaamse Ardennen,50.790832760651234,3.523348412087361
623,25,Vlaamse Ardennen,50.817418599222634,3.621142336676735
624,98,Vlaamse Ardennen,50.814030858139944,3.652681665797016
625,36,Vlaamse Ardennen,50.77488211682905,3.634521007745565
626,88,Vlaamse Ardennen,50.80153607117795,3.575180941833688
627,96,Meetjesland,51.10097564531374,3.417701334498191
628,2,Meetjesland,51.08289089220793,3.418015498955563
629,98,Meetjesland,51.11716686931124,3.390798876243979
631,15,Knooppuntennetwerk,51.064880437432535,5.015720760599432
634,37,Vlaamse Ardennen,50.812433353630595,3.670701195319941
636,48,Vlaamse Ardennen,50.796684505167306,3.74120449509082
637,46,Vlaamse Ardennen,50.80660733235367,3.716804301970915
638,77,Vlaamse Ardennen,50.83762975393719,3.685041959988453
639,39,Vlaamse Ardennen,50.828491702028934,3.628088833000128
640,30,Vlaamse Ardennen,50.80117797485512,3.63873831698817
641,22,Vlaamse Ardennen,50.81574977895381,3.613736473091895
642,42,Vlaamse Ardennen,50.75718852324682,3.654060363929482
643,14,Vlaamse Ardennen,50.76588146470669,3.530699533589204
644,17,Vlaamse Ardennen,50.765914247051995,3.541571913988007
645,95,Meetjesland,51.10378928184394,3.423785651690406
646,1,Meetjesland,51.086285471519275,3.417357838259216
647,97,Meetjesland,51.112195665347365,3.398972996759887
648,99,Meetjesland,51.09985500769096,3.370434142563462
649,33,Vlaamse Ardennen,50.81932741364348,3.662010687904535
650,39,Fietsnetwerk Vlaams-Brabant,50.928093739111304,4.985667559298557
652,20,FNW,51.07881646559475,5.018992542987393
653,40,Fietsnetwerk Vlaams-Brabant,50.916694753045,5.003408090782155
654,32,Fietsnetwerk Vlaams-Brabant,50.99273119486827,5.051621323707523
655,47,Fietsnetwerk Vlaams-Brabant,50.91852381880227,4.936361696785966
656,98,Fietsnetwerk Vlaams-Brabant,50.92460466637817,4.834198731089706
657,73,Fietsnetwerk Vlaams-Brabant,50.94130093376683,4.910079715289232
658,97,Fietsnetwerk Vlaams-Brabant,50.91712078051656,4.839941777926273
659,74,Fietsnetwerk Vlaams-Brabant,50.92146256910483,4.890843873715339
660,29,Fietsnetwerk Vlaams-Brabant,50.915847297124486,4.801339128123625
661,18,Fietsnetwerk Vlaams-Brabant,51.03311126448908,4.973550357211804
662,58,Fietsnetwerk Vlaams-Brabant,51.00581350213065,4.990467033469573
664,5,Fietsnetwerk Vlaams-Brabant,50.95720287624545,4.895979035774235
665,93,Fietsnetwerk Vlaams-Brabant,50.9826162511284,4.977215729786847
666,95,Fietsnetwerk Vlaams-Brabant,50.919025257017815,4.940350555441757
668,64,Fietsnetwerk Vlaams-Brabant,50.947816774140634,4.756395824902899
669,65,Fietsnetwerk Vlaams-Brabant,50.93272197660348,4.83172086381262
670,25,Fietsnetwerk Vlaams-Brabant,51.031329430005115,4.982823555677347
671,56,Fietsnetwerk Vlaams-Brabant,51.01117414306292,4.917180906725059
672,57,Fietsnetwerk Vlaams-Brabant,51.001829560665925,4.951348490659285
675,95,FNW,51.01993304726219,4.828412911018855
676,87,FNW,51.0366948146339,4.871882427593825
677,19,Fietsnetwerk Vlaams-Brabant,51.02355859422393,4.873769628056764
678,86,FNW,51.05660641583813,4.899894308969668
679,70,FNW,51.11865366623441,4.90432223249532
680,81,FNW,51.103467085104086,4.906308395087939
681,83,FNW,51.08990248800493,4.91031254119864
682,84,FNW,51.0879826229417,4.919505305918611
683,88,FNW,51.06081343261368,4.927643491295994
684,89,FNW,51.08303495416808,4.950922428987634
685,13,FNW,51.07544517397029,4.955115487380323
686,17,Fietsnetwerk Vlaams-Brabant,51.043713407681146,4.966757767814708
687,14,FNW,51.05723486877421,4.981550982358532
688,47,FNW,51.0936098230545,4.983908365529796
689,21,FNW,51.09761883844128,5.009038586872566
692,81,Fietsnetwerk Vlaams-Brabant,51.01008935622491,4.932994686741819
693,18,Vlaamse Ardennen,50.81337202862201,3.570813631188693
694,56,Vlaamse Ardennen,50.81955276097713,3.596963004819933
695,35,Vlaamse Ardennen,50.79538020592109,3.623549833653418
696,3,Vlaamse Ardennen,50.830661357298744,3.724990627103351
697,60,Vlaamse Ardennen,50.84106661111851,3.722637850192086
698,51,Vlaamse Ardennen,50.77897739723963,3.749293731091472
699,7,Vlaamse Ardennen,50.791332489918396,3.697977545387567
700,89,Vlaamse Ardennen,50.77230875293887,3.669011289728584
701,2,Vlaamse Ardennen,50.779604401808605,3.622837637040649
702,5,Vlaamse Ardennen,50.80197233341228,3.661258509539299
703,45,Vlaamse Ardennen,50.80031615466619,3.695264747905564
704,23,Vlaamse Ardennen,50.764606671389146,3.582055147193385
706,98,Vlaamse Ardennen,50.764671432374655,3.527088609768673
707,99,Vlaamse Ardennen,50.75958460071383,3.482546307390629
711,59,Fietsnetwerk Vlaams-Brabant,51.002999108580966,4.991830794382782
748,94,FNW,51.0652167140711,4.823855315055693
827,87,Leiestreek,51.00739683831044,3.672741168570262
828,6,Scheldeland,50.99883008268774,3.703429054659768
829,89,Leiestreek,50.99432150129403,3.664710828682227
830,89,Leiestreek,50.99493154739461,3.663612115064779
879,40,West-Vlaanderen,50.71755941435332,3.363414335313879
971,87,West-Vlaanderen,50.84329066835198,2.622378169092918
1003,30,West-Vlaanderen,50.72190748762088,2.839257297494382
1167,3,Fietsnetwerk Vlaams-Brabant,50.99296322496585,4.868313020055307
1193,37,West-Vlaanderen,50.719422492520295,2.827139676887493
1237,02,West-Vlaanderen,50.71985027948586,2.782129471403834
1294,46,West-Vlaanderen,50.73854436697672,2.776255869945618
1309,66,West-Vlaanderen,50.80622999872034,2.639979955484558
1320,46,West-Vlaanderen,50.710828588034126,3.360087523389331
1328,1,West-Vlaanderen,50.746330458870126,3.410987682718476
1356,99,West-Vlaanderen,51.30493161346185,3.388994483125751
1365,43,West-Vlaanderen,50.73528830153345,3.397979806399475
1437,44,West-Vlaanderen,50.71901683430416,2.796044469562449
1440,5,West-Vlaanderen,50.7291687936776,3.410869142062586
1441,18,West-Vlaanderen,50.70238980043186,2.8592402085522
1447,33,West-Vlaanderen,50.74038200307842,2.865670992907387
1492,24,West-Vlaanderen,50.75784155501881,3.445725145706281
1506,50,West-Vlaanderen,50.71225505327406,3.371020009509142
1523,51,West-Vlaanderen,50.70273653038283,3.362083279140315
1531,50,West-Vlaanderen,50.85226468848107,2.592751375585615
1597,35,West-Vlaanderen,50.706734067098395,2.865782646962173
1601,64,West-Vlaanderen,50.80541395148914,2.653772955789629
1608,34,West-Vlaanderen,50.71363481196043,2.873517532705297
1610,53,West-Vlaanderen,50.817408641255746,2.623270066947417
1628,80,West-Vlaanderen,50.87703883376912,2.592248176036773
1694,03,West-Vlaanderen,50.71068074413297,2.809081110502932
1717,86,West-Vlaanderen,50.87754802525983,2.593383536580451
1728,51,West-Vlaanderen,50.850640851588174,2.590133783153225
2064,67,FNW,51.05608141083659,4.199768345138688
2072,11,FNW,51.036584998578356,4.20129625315852
2078,88,Fietsnetwerk Vlaams-Brabant,51.03211644466191,4.249122954614571
2092,37,FNW,51.07478344462059,4.304849083158524
2094,82,FNW,51.069249718309635,4.323007635110175
2097,83,FNW,51.07097770904999,4.332679313644851
2104,35,FNW,51.09651292938162,4.319269372350668
2107,31,FNW,51.11733521569255,4.299683668759886
2121,3,FNW,51.118717656058564,4.216271994467702
2128,6,FNW,51.09242421165949,4.173690575245562
2134,77,Scheldeland,51.10797260605176,4.168571479350781
2135,76,Waasland,51.1105833138344,4.172704718192156
2141,78,Scheldeland,51.109015279163145,4.163626635961523
2150,51,Scheldeland,51.06699728249989,4.169806678412352
2155,56,Scheldeland,51.0591047877265,4.151009768922594
